Reference Designator,Stream,Telemetry
GI02HYPM-WFP02-04-CTDPFL000,ctdpf_ckl_wfp_instrument,telemetered
GI02HYPM-WFP02-03-DOSTAL000,dosta_ln_wfp_instrument,telemetered
GI02HYPM-WFP02-05-VEL3DL000,vel3d_l_wfp_instrument,telemetered
